label,area_px,area_unit2,equivalent_diameter_px,equivalent_diameter_unit,perimeter_px,circularity,major_axis_length_px,minor_axis_length_px,aspect_ratio,centroid_x_px,centroid_y_px,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col,touches_border
1,367.0,91.75,21.616635097022034,10.808317548511017,68.2842712474619,0.9890871749706076,23.627697326305878,19.77610469421725,1.1947599232327526,210.0,42.0,33,199,52,222,False
2,24.0,6.0,5.527906391541368,2.763953195770684,15.414213562373096,1.269341157978135,5.773502691896257,5.270462766947298,1.0954451150103324,38.083333333333336,38.083333333333336,36,36,41,41,False
3,859.0,214.75,33.0713285026094,16.5356642513047,108.08326112068522,0.9240301630657706,38.95418447298362,28.073762164277223,1.3875655227481878,58.0,54.0,36,44,73,73,False
4,69.0,17.25,9.373021315815206,4.686510657907603,27.31370849898476,1.1622448071010205,9.337473201948237,9.337473201948237,1.0,157.0,57.0,53,153,62,162,False
5,505.0,126.25,25.357168021907675,12.678584010953838,82.42640687119285,0.9340465165735098,27.126711484569814,23.709440390630665,1.1441312421397158,174.0,86.0,73,162,100,187,False
6,45.0,11.25,7.569397566060481,3.7846987830302403,21.65685424949238,1.2056788159065315,7.542472332656507,7.542472332656507,1.0,57.0,81.0,78,54,85,61,False
7,25.0,6.25,5.641895835477563,2.8209479177387813,16.0,1.227184630308513,5.656854249492381,5.656854249492381,1.0,30.0,94.0,92,28,97,33,False
8,1431.0,357.75,42.684959745981,21.3424798729905,139.88225099390854,0.9190185404405204,46.30286807243303,39.34956446748158,1.1767059864334115,96.0,128.0,105,77,152,116,False
9,109.0,27.25,11.780624362746345,5.890312181373172,35.31370849898476,1.0983726404318757,11.783988514976622,11.783988514976622,1.0,236.0,126.0,121,231,132,242,False
10,109.0,27.25,11.780624362746345,5.890312181373172,35.31370849898476,1.0983726404318757,11.783988514976622,11.783988514976622,1.0,159.0,127.0,122,154,133,165,False
11,1413.0,353.25,42.41565131777166,21.20782565888583,139.88225099390854,0.9074585587997592,44.750003225785804,40.20790607502837,1.112965274597534,188.0,164.0,144,166,185,211,False
12,69.0,17.25,9.373021315815206,4.686510657907603,27.31370849898476,1.1622448071010205,9.337473201948237,9.337473201948237,1.0,223.0,157.0,153,219,162,228,False
13,25.0,6.25,5.641895835477563,2.8209479177387813,16.0,1.227184630308513,5.656854249492381,5.656854249492381,1.0,35.0,158.0,156,33,161,38,False
14,25.0,6.25,5.641895835477563,2.8209479177387813,16.0,1.227184630308513,5.656854249492381,5.656854249492381,1.0,228.0,184.0,182,226,187,231,False
15,579.0,144.75,27.151532118863187,13.575766059431594,87.59797974644667,0.948200646875478,30.0219778307676,24.5461818623608,1.2230813736780548,62.0,202.0,188,50,217,75,False
16,435.0,108.75,23.534213434057992,11.767106717028996,73.94112549695429,0.9998319418755138,23.635546967645368,23.421377404845984,1.00914419161168,136.0,212.0,201,125,224,148,False
17,69.0,17.25,9.373021315815206,4.686510657907603,27.31370849898476,1.1622448071010205,9.337473201948237,9.337473201948237,1.0,111.0,227.0,223,107,232,116,False
18,25.0,6.25,5.641895835477563,2.8209479177387813,16.0,1.227184630308513,5.656854249492381,5.656854249492381,1.0,208.0,236.0,234,206,239,211,False
